Eastern Central US  (309,1332)  (364,1318)  (423,1327)  (308,1389)  (363,1375)  (418,1396)  (405,1457)  (345,1447)  (290,1451)  (239,1503)  (313,1510)  (259,1566)  (258,1628)  | overflowToLeft=false
Western Turkey  (3977,1693)  (3929,1749)  (3982,1756)  (3875,1773)  (3839,1825)  (3896,1831)  (3951,1813)  (3978,1869)  (3913,1883)  | overflowToLeft=false
Northern Brazil  (719,3192)  (720,3131)  (721,3056)  (788,3064)  (794,3128)  (802,3197)  (835,3269)  (770,3263)  (699,3257)  (656,3196)  (655,3138)  (650,3069)  (582,3105)  (587,3174)  (602,3252)  (650,3314)  (670,3413)  (602,3362)  (543,3305)  (517,3235)  (521,3155)  (524,3086)  (467,3317)  (514,3383)  (573,3420)  (401,3360)  (459,3406)  (910,3294)  (899,3227)  (891,3160)  (892,3099)  (908,3039)  (993,3042)  (956,3104)  (967,3217)  (984,3289)  (1040,3223)  (1052,3314)  (1047,3381)  (712,3475)  (665,2987)  (721,2981)  | overflowToLeft=false
133 Sea Zone  (9708,2692)  (9662,2737)  (9662,2691)  (9753,2738)  (9708,2646)  (9754,2646)  (9754,2692)  (9660,2645)  (9707,2783)  (9661,2783)  (9616,2737)  (9616,2691)  (9799,2738)  (9799,2784)  (9753,2784)  (9615,2784)  (9706,2600)  (9752,2600)  (9798,2600)  (9800,2646)  (9800,2692)  (9614,2645)  (9614,2599)  (9660,2599)  (9844,2556)  (9707,2829)  (9661,2829)  (9570,2738)  (9570,2692)  (9845,2738)  (9845,2784)  (9845,2830)  (9799,2830)  (9753,2830)  (9615,2830)  (9569,2830)  (9569,2784)  (9706,2554)  (9752,2554)  (9798,2554)  (9846,2602)  (9846,2648)  (9568,2646)  (9568,2600)  (9568,2554)  (9614,2553)  (9660,2553)  (9890,2521)  (9707,2875)  (9661,2875)  (9524,2738)  (9524,2692)  (9891,2694)  (9891,2740)  (9891,2786)  (9891,2832)  (9845,2876)  (9799,2876)  (9753,2876)  (9615,2876)  (9569,2876)  (9523,2876)  (9523,2830)  (9523,2784)  (9892,2567)  (9892,2613)  (9522,2646)  (9522,2600)  (9522,2554)  (9893,2878)  (9936,2521)  (9478,2738)  (9478,2692)  (9937,2659)  (9937,2705)  (9937,2751)  (9937,2797)  (9477,2878)  (9477,2832)  (9477,2786)  (9938,2567)  (9938,2613)  (9476,2646)  (9476,2600)  (9476,2554)  (9939,2843)  (9982,2521)  (9432,2740)  (9432,2694)  (9983,2659)  (9983,2705)  (9983,2751)  (9983,2797)  (9431,2878)  (9431,2832)  (9431,2786)  (9984,2567)  (9984,2613)  (9430,2648)  (9430,2602)  (9430,2556)  (9985,2843)  (10028,2521)  (10029,2659)  (10029,2705)  (10029,2751)  (10029,2797)  (10030,2567)  (10030,2613)  (10031,2843)  (10074,2521)  (10075,2659)  (10075,2705)  (10075,2751)  (10075,2797)  (10076,2567)  (10076,2613)  (10077,2843)  | overflowToLeft=false
Western Ukraine  (3820,1216)  (3819,1170)  (3817,1124)  (3866,1171)  (3772,1170)  (3864,1125)  (3770,1122)  (3869,1217)  (3914,1218)  (3947,1261)  (3771,1214)  (3733,1263)  (3724,1076)  (3724,1123)  (3723,1214)  (3686,1262)  (3641,1263)  | overflowToLeft=true
Southwestern Australia  (7797,4253)  (7854,4257)  (7911,4245)  (7969,4246)  (8043,4253)  (8058,4314)  (7992,4315)  (7926,4311)  (7863,4310)  (7806,4311)  (7849,4366)  (7911,4368)  (7972,4374)  (8041,4377)  (7934,4428)  (7860,4427)  | overflowToLeft=false
84 Sea Zone  (5924,3270)  (5878,3315)  (5878,3269)  (5969,3316)  (5924,3224)  (5970,3224)  (5970,3270)  (5876,3223)  (5923,3361)  (5877,3361)  (5832,3315)  (5832,3269)  (6015,3316)  (6015,3362)  (5969,3362)  (5922,3178)  (5968,3178)  (6014,3178)  (6016,3224)  (6016,3270)  (5830,3223)  (5830,3177)  (5876,3177)  (6060,3134)  (5923,3407)  (5877,3407)  (5786,3301)  (6061,3316)  (6061,3362)  (6061,3408)  (6015,3408)  (5969,3408)  (5922,3132)  (5968,3132)  (6014,3132)  (6062,3180)  (6062,3226)  (5784,3255)  (5784,3209)  (5789,3131)  (5835,3131)  (6060,3088)  (5923,3453)  (5877,3453)  (6097,3454)  (6051,3454)  (6005,3454)  (5881,3086)  (5927,3086)  (5973,3086)  (5738,3455)  (5789,3085)  (5835,3085)  (5734,3361)  (5732,3409)  (6019,3042)  (6065,3042)  (5959,3499)  (5913,3499)  (5867,3499)  (6097,3500)  (6051,3500)  (6005,3500)  (5881,3040)  (5927,3040)  (5973,3040)  (5741,3501)  (5695,3501)  (5692,3455)  (5779,3039)  (5825,3039)  (5821,3526)  (6019,2996)  (6065,2996)  (5959,3545)  (5913,3545)  (5867,3545)  (6097,3546)  (6051,3546)  (6005,3546)  (5871,2994)  (5917,2994)  (5963,2994)  (5775,3547)  (5729,3547)  (5683,3547)  (5814,2993)  (5821,3572)  (5959,3591)  (5913,3591)  (5867,3591)  | overflowToLeft=false
Eastern Mongolia  (6595,1239)  (6592,1184)  (6647,1182)  (6659,1241)  (6659,1302)  (6596,1306)  (6529,1308)  (6544,1248)  (6480,1242)  (6543,1185)  (6492,1141)  (6552,1113)  (6609,1117)  (6662,1117)  (6702,1171)  (6722,1107)  (6774,1143)  (6773,1070)  (6829,1070)  (6838,1129)  (6712,1265)  (6655,1362)  (6589,1363)  (6524,1367)  (6471,1337)  (6467,1394)  | overflowToLeft=false
Syria  (4255,1965)  (4301,1965)  (4300,2011)  (4254,2009)  (4233,2055)  (4279,2055)  (4325,2055)  (4348,2010)  (4348,1965)  (4399,1937)  (4393,1984)  (4323,2101)  (4276,2101)  (4232,2101)  (4225,2148)  (4270,2145)  (4368,2082)  (4396,2036)  | overflowToLeft=false
Solomon Islands  (8960,3407)  (9009,3369)  (9067,3378)  (9117,3407)  (9174,3418)  (9138,3350)  (9009,3506)  (9063,3532)  (9110,3537)  (9156,3534)  (9211,3476)  (9283,3478)  (9136,3583)  (9195,3602)  | overflowToLeft=false
100 Sea Zone  (7864,701)  (7818,746)  (7818,700)  (7909,747)  (7864,655)  (7910,655)  (7910,701)  (7816,654)  (7863,792)  (7817,792)  (7772,746)  (7772,700)  (7955,747)  (7955,793)  (7909,793)  (7771,793)  (7862,609)  (7908,609)  (7954,609)  (7956,655)  (7956,701)  (7770,654)  (7770,608)  (7816,608)  (8000,565)  (7863,838)  (7726,747)  (7726,701)  (8001,747)  (8001,793)  (8001,839)  (7955,839)  (7909,839)  (7758,839)  (7725,793)  (7884,563)  (7930,563)  (8002,611)  (8002,657)  (7724,655)  (7724,609)  (7724,563)  (7976,519)  (8022,519)  (8046,565)  (7680,747)  (7680,701)  (8047,703)  (8047,749)  (8047,795)  (8047,841)  (8001,885)  (7955,885)  (7768,885)  (7679,802)  (7888,517)  (8048,611)  (7678,655)  (7678,609)  (8049,887)  (8068,497)  (7934,473)  (8092,543)  (7634,756)  (7634,710)  (8093,779)  (8093,825)  (8003,931)  (7957,931)  (7813,931)  (7882,471)  (7632,664)  (7632,618)  (7632,572)  (8095,871)  (8095,917)  (8049,933)  (8114,488)  (8125,963)  (7588,730)  (8003,977)  (7957,977)  (7832,977)  (7586,684)  (7586,638)  (7586,592)  (8141,848)  (8141,894)  (8079,979)  (8171,940)  (8171,986)  (8125,1009)  (8033,1023)  (7987,1023)  (7860,1023)  (7540,727)  (7540,681)  (7540,635)  (7540,589)  (8187,885)  (8079,1025)  (8194,1032)  (7814,1043)  (8217,931)  (8217,977)  (8148,1055)  (7508,776)  (8033,1069)  (7987,1069)  (7885,1069)  (7494,730)  (7494,684)  (7494,638)  (7494,592)  (8102,1071)  (8217,1078)  (7839,1089)  (8171,1101)  (8056,1115)  (8010,1115)  (7905,1115)  (7448,695)  (7448,649)  (7448,603)  (8125,1117)  (8217,1124)  (7402,686)  (7402,640)  | overflowToLeft=false
